Enlem;Boylam;Z_Anomali(m)
41.05677505;29.66697484;"=""6.55"""
41.05677505;29.66733222;"=""4.40"""
41.05677505;29.66768961;"=""1.73"""
41.05677505;29.66804699;"=""-1.21"""
41.05677505;29.66840438;"=""-4.12"""
41.05677505;29.66876177;"=""-6.77"""
41.05677505;29.66911915;"=""-9.03"""
41.05677505;29.66947654;"=""-10.86"""
41.05677505;29.66983392;"=""-12.29"""
41.05677505;29.67019131;"=""-13.36"""
41.05677505;29.67054869;"=""-14.07"""
41.05677505;29.67090608;"=""-14.47"""
41.05677505;29.67126346;"=""-14.63"""
41.05677505;29.67162085;"=""-14.65"""
41.05677505;29.67197824;"=""-14.62"""
41.05677505;29.67233562;"=""-14.62"""
41.05677505;29.67269301;"=""-14.60"""
41.05677505;29.67305039;"=""-14.46"""
41.05677505;29.67340778;"=""-14.08"""
41.05677505;29.67376516;"=""-13.43"""
41.05677505;29.67412255;"=""-12.53"""
41.05677505;29.67447993;"=""-11.50"""
41.05677505;29.67483732;"=""-10.48"""
41.05677505;29.67519471;"=""-9.71"""
41.05677505;29.67555209;"=""-9.44"""
41.05677505;29.67590948;"=""-9.83"""
41.05677505;29.67626686;"=""-10.89"""
41.05677505;29.67662425;"=""-12.44"""
41.05677505;29.67698163;"=""-14.23"""
41.05677505;29.67733902;"=""-15.98"""
41.05677505;29.67769641;"=""-17.54"""
41.05677505;29.67805379;"=""-18.85"""
41.05677505;29.67841118;"=""-19.97"""
41.05677505;29.67876856;"=""-20.94"""
41.05677505;29.67912595;"=""-21.72"""
41.05677505;29.67948333;"=""-22.18"""
41.05650556;29.65410896;"=""22.37"""
41.05650556;29.65446634;"=""21.54"""
41.05650556;29.65482373;"=""20.20"""
41.05650556;29.65518111;"=""18.76"""
41.05650556;29.65553850;"=""17.38"""
41.05650556;29.65589588;"=""16.04"""
41.05650556;29.65625327;"=""14.63"""
41.05650556;29.65661066;"=""13.15"""
41.05650556;29.65696804;"=""11.69"""
41.05650556;29.65732543;"=""10.40"""
41.05650556;29.65768281;"=""9.42"""
41.05650556;29.65804020;"=""8.85"""
41.05650556;29.65839758;"=""8.69"""
41.05650556;29.65875497;"=""8.93"""
41.05650556;29.65911235;"=""9.52"""
41.05650556;29.65946974;"=""10.39"""
